	day	blm_rehyd	blm_sum	blm_mean	blm_median
0	2020-05-01	22669	751655003.0	33157.83682562089	2857.0
1	2020-05-02	13300	373412827.0	28076.152406015037	1488.0
2	2020-05-03	15150	513882971.0	33919.66805280528	2459.0
3	2020-05-04	13521	439181327.0	32481.423489386878	1047.0
4	2020-05-05	11568	337509969.0	29176.172977178423	683.0
5	2020-05-06	11524	145824185.0	12653.955657757722	809.5
6	2020-05-07	12925	196136516.0	15174.972224371373	823.0
7	2020-05-08	15188	931493313.0	61330.873913616015	1156.0
8	2020-05-09	12106	475161431.0	39250.07690401454	1930.5
9	2020-05-10	9399	153644434.0	16346.891584211086	837.0
10	2020-05-11	12047	944398148.0	78392.80717191003	1916.0
11	2020-05-12	15124	861797263.0	56982.09884951071	2227.0
12	2020-05-13	11022	176091222.0	15976.340228633642	590.0
13	2020-05-14	9651	80352681.0	8325.839912962387	223.0
14	2020-05-15	10872	849767229.0	78161.07698675497	846.0
15	2020-05-16	9542	985061121.0	103234.2403060155	1424.0
16	2020-05-17	7302	473061175.0	64785.151328403175	729.0
17	2020-05-18	8991	354008254.0	39373.62406851296	634.0
18	2020-05-19	7297	96785790.0	13263.778265040428	332.0
19	2020-05-20	7518	476985148.0	63445.74993349295	279.0
20	2020-05-21	10488	526794168.0	50228.276887871856	1758.0
21	2020-05-22	14507	313206333.0	21590.01399324464	1401.0
22	2020-05-23	11780	227503056.0	19312.653310696096	1528.0
23	2020-05-24	10422	238503705.0	22884.63874496258	1375.5
24	2020-05-25	9797	336165930.0	34313.149943860364	1200.0
25	2020-05-26	38545	2081506206.0	54001.977065767285	5552.0
26	2020-05-27	80021	10682602004.0	133497.48196098523	8338.0
27	2020-05-28	138991	22092186177.0	158946.8827262197	6321.0
28	2020-05-29	288347	60751446376.0	210688.67155198424	6554.0
29	2020-05-30	347980	56116541886.0	161263.6987355595	5630.0
30	2020-05-31	509041	60741393026.0	119325.14871297203	6794.0
31	2020-06-01	492693	60846837992.0	123498.48281181182	5921.0
32	2020-06-02	566248	77654351200.0	137138.4114380978	7791.0
33	2020-06-03	456442	46306012623.0	101449.938049084	6343.0
34	2020-06-04	367870	41994936304.0	114157.00194090304	5876.0
35	2020-06-05	363281	33667740784.0	92676.85561314794	4868.0
36	2020-06-06	270126	26163857169.0	96857.97431198774	4725.0
37	2020-06-07	257753	26197681883.0	101638.70792192525	6558.0
38	2020-06-08	241880	22572973263.0	93323.02490077725	5932.0
39	2020-06-09	204575	17662743956.0	86338.72152511304	4597.0
40	2020-06-10	178918	14459490902.0	80816.30077465654	4067.0
41	2020-06-11	185240	17503228230.0	94489.46356078601	7551.0
42	2020-06-12	159224	13600424402.0	85416.92459679446	6205.0
43	2020-06-13	133976	10962918736.0	81827.48205648773	6573.0
44	2020-06-14	130681	11774329077.0	90099.77790956604	7026.0
45	2020-06-15	111220	8129218026.0	73091.33272792664	4433.0
46	2020-06-16	106701	6558542772.0	61466.553940450416	2253.0
47	2020-06-17	98573	5099948637.0	51737.78455560853	2035.0
48	2020-06-18	108441	7290220045.0	67227.5250597099	3186.0
49	2020-06-19	167629	12105465706.0	72215.82009079575	2403.0
50	2020-06-20	107445	8926689175.0	83081.47587137605	3264.0
51	2020-06-21	74334	5861643514.0	78855.48354723275	3778.0
52	2020-06-22	78705	3966858199.0	50401.60344323741	2966.0
53	2020-06-23	90737	4170212801.0	45959.3418451128	2339.0
54	2020-06-24	83188	3383748606.0	40675.92208010771	2430.0
55	2020-06-25	78299	3604657065.0	46037.07665487426	2139.0
56	2020-06-26	61957	2100398625.0	33900.90909824556	1282.0
57	2020-06-27	60680	3598531708.0	59303.42300593276	2687.0
58	2020-06-28	72661	4142731057.0	57014.50650280068	4386.0
59	2020-06-29	84150	5564808530.0	66129.63196672608	5534.5
60	2020-06-30	63971	3083053517.0	48194.54935830298	2079.0
61	2020-07-01	62024	2292225051.0	36957.065829356376	1481.0
62	2020-07-02	49160	1529266070.0	31107.93470301058	1106.0
63	2020-07-03	48148	1834186363.0	38094.75706156019	1920.0
64	2020-07-04	52324	2836306454.0	54206.60603164895	2628.5
65	2020-07-05	56518	3182115526.0	56302.69163806221	5001.0
66	2020-07-06	65064	3972112585.0	61049.314290544695	4268.0
67	2020-07-07	53051	2676759966.0	50456.35267949709	2915.0
68	2020-07-08	41761	1389149180.0	33264.27001269127	1302.0
69	2020-07-09	39630	1042033629.0	26294.06078728236	1025.5
70	2020-07-10	34646	775970331.0	22397.111672343126	884.5
71	2020-07-11	31775	884716803.0	27843.17239968529	1823.0
72	2020-07-12	32858	985630783.0	29996.676091058493	1857.0
73	2020-07-13	37224	1335324212.0	35872.66849344509	1842.5
74	2020-07-14	40292	1897960441.0	47105.14347761342	2296.0
75	2020-07-15	41768	1949607617.0	46677.06418789504	2049.0
76	2020-07-16	37386	1910155628.0	51092.805542181566	2007.0
77	2020-07-17	64458	2605569477.0	40422.74778925812	4547.0
78	2020-07-18	61202	2039891642.0	33330.47354661612	3698.0
79	2020-07-19	49346	2106908741.0	42696.646962266444	2884.0
80	2020-07-20	55377	2250550508.0	40640.527800350326	2556.0
81	2020-07-21	49441	928816185.0	18786.355150583524	1395.0
82	2020-07-22	58266	1254842537.0	21536.445560017848	1857.0
83	2020-07-23	66118	2453727894.0	37111.34477751898	2578.0
84	2020-07-24	54169	2525807876.0	46628.29064594141	2507.0
85	2020-07-25	56942	2026000113.0	35580.065909170735	3154.0
86	2020-07-26	63265	1818294342.0	28740.920603809373	2600.0
87	2020-07-27	57361	1702876288.0	29687.004898798834	2688.0
88	2020-07-28	55880	1042400652.0	18654.270794559772	1726.0
89	2020-07-29	60445	2156215769.0	35672.35948382827	2707.0
90	2020-07-30	43121	3276407467.0	75981.71348067067	1963.0
91	2020-07-31	36454	2184062000.0	59912.821638229	1363.0
92	2020-08-01	30241	853898884.0	28236.463212195365	1415.0
93	2020-08-02	27606	362958897.0	13147.826450771572	1069.0
94	2020-08-03	30383	686243613.0	22586.433630648717	1237.0
95	2020-08-04	31953	1939464182.0	60697.40500109536	1198.0
96	2020-08-05	31196	690499184.0	22134.22182331068	1251.5
97	2020-08-06	28411	432548517.0	15224.684699588188	891.0
98	2020-08-07	29182	762206469.0	26119.06205880337	1112.0
99	2020-08-08	30414	809048067.0	26601.172716512134	2177.0
100	2020-08-09	24149	387997847.0	16066.828729968114	1226.0
101	2020-08-10	38323	788267404.0	20569.042193982725	1368.0
102	2020-08-11	36637	1001638268.0	27339.527472227528	1248.0
103	2020-08-12	38324	1003374763.0	26181.368411439307	1617.0
104	2020-08-13	38409	804824600.0	20954.0628498529	1795.0
105	2020-08-14	38847	1272384847.0	32753.747959945427	2238.0
106	2020-08-15	35278	1633376303.0	46300.13898180169	3626.0
107	2020-08-16	17671	662739473.0	37504.35589383736	2048.0
108	2020-08-17	18139	595259999.0	32816.5829979602	2107.0
109	2020-08-18	23627	1430738787.0	60555.24556651289	1732.0
110	2020-08-19	38155	3177197343.0	83270.79918752456	3555.0
111	2020-08-20	37806	1406869631.0	37212.86650267153	1755.0
112	2020-08-21	28106	589025868.0	20957.29979363837	1278.0
113	2020-08-22	26127	563989367.0	21586.457189880202	1466.0
114	2020-08-23	31135	676274378.0	21720.712317327765	2112.0
115	2020-08-24	76298	4657416762.0	61042.44884531705	6347.0
116	2020-08-25	75577	2962126149.0	39193.48676184553	2923.0
117	2020-08-26	141063	6900850651.0	48920.34517201534	5451.0
118	2020-08-27	180778	14698065278.0	81304.50208543075	8106.0
119	2020-08-28	116281	5923697380.0	50942.95181499987	3988.0
120	2020-08-29	72406	2473557246.0	34162.324199651965	3318.5
121	2020-08-30	93994	2593531869.0	27592.525788880142	4130.5
122	2020-08-31	90176	2210992210.0	24518.632562987936	4083.0
123	2020-09-01	79163	1765904672.0	22307.197453355733	2928.0
124	2020-09-02	62247	1785089140.0	28677.51281186242	2923.0
125	2020-09-03	48216	1004567465.0	20834.732557657208	1519.0
126	2020-09-04	41738	1087719329.0	26060.648066510134	1261.0
127	2020-09-05	44490	1141570221.0	25659.029467296023	2002.0
128	2020-09-06	42931	941631681.0	21933.606973981507	2196.0
129	2020-09-07	32560	502971712.0	15447.534152334152	1347.0
130	2020-09-08	40137	1023073137.0	25489.526795724643	2095.0
131	2020-09-09	32801	790558784.0	24101.66714429438	1243.0
132	2020-09-10	37892	2623195496.0	69228.21429325451	3816.0
133	2020-09-11	40239	1852774328.0	46044.243843037846	2001.0
134	2020-09-12	29706	926380002.0	31184.945869521307	2026.0
135	2020-09-13	44442	1247654607.0	28073.772714999326	3542.0
136	2020-09-14	38504	1341088950.0	34829.860533970495	2197.0
137	2020-09-15	36116	1088741241.0	30145.67618230147	1550.0
138	2020-09-16	28392	865651588.0	30489.27824739363	940.0
139	2020-09-17	34324	387564796.0	11291.364526278989	1532.0
140	2020-09-18	26320	385620309.0	14651.227545592705	1064.0
141	2020-09-19	24664	421881485.0	17105.152651638015	1706.0
142	2020-09-20	23308	339156091.0	14551.059335850352	1753.0
143	2020-09-21	24280	484009507.0	19934.493698517297	1136.0
144	2020-09-22	26048	708716001.0	27208.077433968057	1178.0
145	2020-09-23	83611	3597658258.0	43028.528040568825	3896.0
146	2020-09-24	94495	5076798088.0	53725.57371289486	3997.0
147	2020-09-25	44755	1439840880.0	32171.620601050163	2059.0
148	2020-09-26	30376	479739775.0	15793.382110877008	1104.0
149	2020-09-27	26063	320813367.0	12309.149637417027	903.0
150	2020-09-28	20092	615998373.0	30658.887766275133	1077.0
151	2020-09-29	27595	1715196599.0	62156.06446820076	2708.0
152	2020-09-30	178538	12293434769.0	68856.12457292005	7064.0
