		covid_index	covid_followers_count	covid_interactions	covid_perc_index	covid_perc_followers_count	covid_perc_interactions	blm_index	blm_followers_count	blm_interactions	blm_perc_index	blm_perc_followers_count	blm_perc_interactions	all_index	all_followers_count	all_interactions	all_retweet_count	all_favorite_count	all_quote_retweet_count	all_quote_favorite_count	all_perc_index	all_perc_followers_count	all_perc_interactions	all_perc_retweet_count	all_perc_favorite_count	all_perc_quote_retweet_count	all_perc_quote_favorite_count
party_score	Democrat	56298032155	351705863.0	645898195359.0	56.09746168318019	66.44748512581215	64.98124917609913	27561193281	296620398.0	613788322019.0	61.00426832796189	70.07650864607633	67.77452221777862	141797692867	397311647.0	4476964383916.0	832030666311.0	3211202140469.0	87120664794.0	346610912342.0	53.93792271876682	64.63457817101737	63.680811831004135	63.21730800147354	63.441169402387764	66.50207266386639	66.46800453722072
party_score	Independent	12351684604	48028239.0	118430699152.0	12.307679811754811	9.073933739260557	11.914841730465456	5338750106	36412124.0	111136707582.0	11.816852074647986	8.60235688277919	12.271718094033503	33442321569	58505116.0	899074263134.0	170548839063.0	654815168477.0	14768891204.0	58941364390.0	12.721006384897708	9.517600407788796	12.788526792490378	12.958222484926301	12.936663035649056	11.273581053766092	11.302918448911678
party_score	Republican	31707822541	129564881.0	229647373333.0	31.594858505064998	24.47858113492729	23.10390909343543	12279179380	90248266.0	180707798096.0	27.178879597390125	21.321134471144482	19.95375968818788	87650519199	158887716.0	1654280620545.0	313564273307.0	1195683430051.0	29114879359.0	115918037828.0	33.341070896335474	25.84782142119384	23.530661376505485	23.82446951360016	23.62216756196318	22.224346282367527	22.229077013867595
gender	Female	50771693152	237548500.0	570531251919.0	52.37653432987659	46.04392159256198	59.971409429444755	22544723363	189622399.0	500392705722.0	51.85182444415305	45.976383300932255	58.49549043049132	133061246224	275338303.0	3867433174822.0	735135007250.0	2805438401754.0	65601430644.0	261258335174.0	52.361448549038016	45.97940382544518	58.16060675781824	59.1613618518413	58.67089981076767	52.21504309887208	52.28380923892123
gender	Male	46164260709	278368676.0	380807489903.0	47.6234656701234	53.95607840743802	40.028590570555245	20934408962	222811954.0	355045383675.0	48.14817555584695	54.023616699067745	41.50450956950867	121059390067	323491347.0	2782141838943.0	507458104604.0	1976213849707.0	60035601810.0	238434282822.0	47.63855145096198	54.02059617455481	41.83939324218176	40.8386381481587	41.32910018923233	47.78495690112792	47.71619076107878
race	African-American	6508642795	35871073.0	78085189756.0	6.688121888191656	6.992382817246493	8.159319554377658	3725849479	31761053.0	103744233135.0	8.528910212578566	7.762342993762966	11.957324006899006	18869220025	42865841.0	785896381955.0	146297453496.0	558790764562.0	16065945420.0	64742218477.0	7.390330730569216	7.195500975931838	11.640710825961897	11.580996599619162	11.497783271898108	12.740957117380795	12.898484580690608
race	Asian	2160787253	13333772.0	24687723136.0	2.2203720464759074	2.5991650214054762	2.5796828152184705	993964987	11108966.0	24073766088.0	2.275303437874019	2.715010878198875	2.774687445093269	5277989858	14786870.0	182634914871.0	34835235238.0	132347411602.0	3167416360.0	12284851671.0	2.0671808687126725	2.482138108896014	2.7051915234026525	2.757578694623293	2.7232050916039263	2.511891766133634	2.4474905800572313
race	Caucasian	83938704161	446520380.0	782090666157.0	86.25335607553926	87.04064784073715	81.72263761683084	36732622639	352903582.0	670417586191.0	84.08531856328429	86.24898699711103	77.27080393545702	219144027267	517871100.0	5165534967427.0	961466211792.0	3712865216580.0	98704747877.0	392498791178.0	85.83008926634255	86.93033703589053	76.51199343561204	76.11025799376822	76.39660904465302	78.27693466561895	78.19688180360492
race	Hispanic	4529488332	16914530.0	70558694223.0	4.654391247101449	3.297165627964358	7.372856943859072	2153495184	13119272.0	67635504316.0	4.929605227231554	3.206325970756406	7.795514170161476	11523615545	19692341.0	603437739155.0	118038620405.0	445928801644.0	7936783165.0	31533533941.0	4.5133466023844635	3.3055751521096375	8.938130247528987	9.344009952787168	9.175514416418153	6.294196283608115	6.282373555938109
race	Native American	178827485	362378.0	1583874552.0	0.18375874269172657	0.07063869264652746	0.16550306971395606	79009704	275506.0	1749734755.0	0.18086255903157747	0.06733316017071789	0.20167044238923182	508227055	515002.0	13770843161.0	2616916954.0	10054738291.0	221955884.0	877232032.0	0.19905253199108802	0.08644872717198873	0.20397396749442584	0.20715675920215765	0.20688817542679003	0.1760201672585009	0.17476947970912654
binned_age	18-29	28603035456	73193258.0	408038229747.0	28.743905871875576	13.928974075938061	41.40109638826871	14129599351	57810566.0	449750719797.0	31.558969160663462	13.764603217684623	50.12711951102264	70736643390	93005497.0	3576456857792.0	687129466009.0	2644157772471.0	47708650309.0	197460969003.0	27.12727178719198	15.238325581459971	51.35211240717118	52.70422329354976	52.7374559773209	36.720362157475265	38.186850554814555
binned_age	30-49	42811989747	266914456.0	281571274942.0	43.02283949437727	50.79490433554837	28.569282592147015	18828861736	218418172.0	255528705886.0	42.05494098562429	52.00501709517934	28.480038862919272	115768088644	307017304.0	1783571740323.0	315087929760.0	1225286158986.0	49324235297.0	193873416280.0	44.39668401587583	50.3027217573395	25.609193718015582	24.167883097238406	24.438206956447225	37.963844533759314	37.4930560273065
binned_age	50-64	21243170112	134359218.0	196856774394.0	21.347793071084062	25.569104525792667	19.973830139452964	8807994351	105687324.0	130990717701.0	19.67297268558673	25.163982653255417	14.599615013393146	56115465929	153278873.0	1071072679560.0	199554933560.0	759324769055.0	23346383972.0	88846592973.0	21.52009796857417	25.113713133894162	15.378864284964894	15.306268029463272	15.14465475450997	17.969229248088638	17.181985813676636
binned_age	>65	6851716746	51007935.0	99107208924.0	6.885461562663092	9.707017062720908	10.055790880131314	3005600579	38078362.0	60950211953.0	6.713117168125516	9.066397033880621	6.793226612664938	18138214991	57037674.0	533474647526.0	101974169660.0	385044960898.0	9544967292.0	36910549676.0	6.955946228358023	9.345239527306374	7.659829589848339	7.821625579748566	7.679682311721901	7.346564060676787	7.138107604202309
