		n_tweets_all	perc_tweets_all	n_tweets_covid	perc_tweets_covid	n_tweets_noncovid	perc_tweets_noncovid	n_tweets_blm	perc_tweets_blm	n_tweets_nonblm	perc_tweets_nonblm	n_tweets_other	perc_tweets_other	n_authored_all	perc_authored_all	n_authored_covid	perc_authored_covid	n_authored_noncovid	perc_authored_noncovid	n_authored_blm	perc_authored_blm	n_authored_nonblm	perc_authored_nonblm	n_authored_other	perc_authored_other	n_rts_all	perc_rts_all	n_rts_covid	perc_rts_covid	n_rts_noncovid	perc_rts_noncovid	n_rts_blm	perc_rts_blm	n_rts_nonblm	perc_rts_nonblm	n_rts_other	perc_rts_other	n_qts_all	perc_qts_all	n_qts_covid	perc_qts_covid	n_qts_noncovid	perc_qts_noncovid	n_qts_blm	perc_qts_blm	n_qts_nonblm	perc_qts_nonblm	n_qts_other	perc_qts_other	n_replies_all	perc_replies_all	n_replies_covid	perc_replies_covid	n_replies_noncovid	perc_replies_noncovid	n_replies_blm	perc_replies_blm	n_replies_nonblm	perc_replies_nonblm	n_replies_other	perc_replies_other
party_score	Democrat	176194814.0	0.6191371733615749	18109804.0	0.6485778925230694	158085010.0	0.6159342709866562	8260991.0	0.6318457649116642	167933823.0	0.6185251926835406	149824019.0	0.615080222853409	27270794.0	0.6173914212846819	2321458.0	0.6613316666087415	24949336.0	0.6135980186085254	570689.0	0.6836596562348758	26700105.0	0.616114942136189	24378647.0	0.6121295199347602	90599663.0	0.6142659290765378	12905264.0	0.6455910634215586	77694399.0	0.6093547831536251	6488495.0	0.6274904164630557	84111168.0	0.6132688881332805	71205904.0	0.6077541877747715	27926739.0	0.638280863437725	4660106.0	0.6615774629251763	23266633.0	0.6338105952182027	2477138.0	0.6407204431458888	25449601.0	0.6380443986081539	20789495.0	0.6329971881332219	46756648.0	0.6248795507098645	1272991.0	0.6387800970169812	45483657.0	0.6244992016581674	564776.0	0.6123819612886157	46191872.0	0.6250355128647636	44918881.0	0.6246546079458352
party_score	Independent	30223054.0	0.10620185577036473	2572878.0	0.09214411105492748	27650176.0	0.1077312200392228	1262308.0	0.09654821846605487	28960746.0	0.10666672549882389	26387868.0	0.10833146673275626	4925818.0	0.11151702352376207	316889.0	0.0902746164263913	4608929.0	0.11335090049319838	71703.0	0.08589695671549531	4854115.0	0.11201052514015983	4537226.0	0.11392633779944851	15673071.0	0.10626345838943729	1852275.0	0.09266080779123678	13820796.0	0.10839607819851325	1016454.0	0.09829939666679852	14656617.0	0.10686389721024131	12804342.0	0.10928718034673633	4405772.0	0.1006963239162923	634171.0	0.09003083647469005	3771601.0	0.10274287107788946	379432.0	0.09814141932493503	4026340.0	0.10094396701511958	3392169.0	0.10328454051782802	7798141.0	0.1042183101845148	187996.0	0.09433539052420983	7610145.0	0.10448872827008819	86915.0	0.09424121804998802	7711226.0	0.10434281809851957	7523230.0	0.10462015485506741
party_score	Republican	78163355.0	0.2746609708680604	7239645.0	0.25927799642200305	70923710.0	0.27633450897412104	3551080.0	0.2716060166222809	74612275.0	0.2748080818176355	67372630.0	0.2765883104138347	11974384.0	0.27109155519155603	871931.0	0.24839371696486717	11102453.0	0.27305108089827634	192364.0	0.23044338704962888	11782020.0	0.27187453272365114	10910089.0	0.27394414226579133	41219840.0	0.27947061253402494	5232304.0	0.2617481287872046	35987536.0	0.2822491386478616	2835440.0	0.2742101868701458	38384400.0	0.2798672146564781	33152096.0	0.28295863187849213	11420546.0	0.26102281264598265	1749654.0	0.24839170060013366	9670892.0	0.26344653370390786	1009606.0	0.26113813752917614	10410940.0	0.26101163437672653	8661286.0	0.2637182713489501	20270268.0	0.2709021391056207	531860.0	0.26688451245880895	19738408.0	0.2710120700717444	270570.0	0.2933768206613963	19999698.0	0.2706216690367168	19467838.0	0.27072523719909747
gender	Female	139063038.0	0.5041847526063953	15252547.0	0.5582261065506062	123810491.0	0.4982426262305324	6932495.0	0.5477452474324892	132130543.0	0.5020897628764016	116877996.0	0.4955860306709325	20917274.0	0.48878488575512746	1706280.0	0.4963989345175131	19210994.0	0.48811990084335694	397139.0	0.4890374506054184	20520135.0	0.488780000282976	18813855.0	0.48810056952077724	78234613.0	0.5483728585473082	11446831.0	0.5855079851639794	66787782.0	0.5424759979091685	5696560.0	0.5701637308022794	72538053.0	0.5467319052263419	61091222.0	0.5400306532204405	21581665.0	0.5093963993268084	3736275.0	0.5422394641164324	17845390.0	0.5030174609625968	1954853.0	0.5235842209043394	19626812.0	0.5080252687205559	15890537.0	0.5005984138339682	31676417.0	0.4350038197600589	892745.0	0.45610230236520577	30783672.0	0.43442103684835354	376636.0	0.41780296139186307	31299781.0	0.43521942902092936	30407036.0	0.43463516896899246
gender	Male	136754581.0	0.49581524739360466	12070695.0	0.4417738934493937	124683886.0	0.5017573737694676	5723927.0	0.4522547525675108	131030654.0	0.49791023712359844	118959959.0	0.5044139693290675	21877163.0	0.5112151142448725	1731036.0	0.503601065482487	20146127.0	0.5118800991566431	414944.0	0.5109625493945816	21462219.0	0.5112199997170239	19731183.0	0.5118994304792228	64432209.0	0.4516271414526918	8103425.0	0.41449201483602055	56328784.0	0.45752400209083155	4294535.0	0.42983626919772056	60137674.0	0.4532680947736582	52034249.0	0.4599693467795595	20785468.0	0.49060360067319164	3154177.0	0.4577605358835676	17631291.0	0.4969825390374032	1778745.0	0.4764157790956605	19006723.0	0.49197473127944413	15852546.0	0.4994015861660318	41142293.0	0.564996180239941	1064590.0	0.5438976976347942	40077703.0	0.5655789631516465	524832.0	0.582197038608137	40617461.0	0.5647805709790706	39552871.0	0.5653648310310075
race	African-American	25171461.0	0.09129922198716889	1562609.0	0.05773852300121976	23608852.0	0.09495218908719462	1134080.0	0.0899376254398623	24037381.0	0.09136448106922382	22474772.0	0.09522008661137474	4707920.0	0.10993714398108545	209881.0	0.0617828936852402	4498039.0	0.11408620104107195	85050.0	0.10572664224366728	4622870.0	0.11001775136240934	4412989.0	0.11426031589004024	13135088.0	0.09202754048100438	1121117.0	0.05783785155785291	12013971.0	0.09740043418452174	898600.0	0.09012629616728547	12236488.0	0.09217032698431953	11115371.0	0.09804013420086533	4215882.0	0.09964929604287384	406043.0	0.059529136279723296	3809839.0	0.10736089814539879	347015.0	0.09321744783272086	3868867.0	0.10026984114601509	3462824.0	0.1090184843733752	5480558.0	0.07543034341287497	86334.0	0.044581895621334286	5394224.0	0.07627505844118014	64610.0	0.07227457402634593	5415948.0	0.0754696547065717	5329614.0	0.07632627437447735
race	Asian	5653689.0	0.02050645399793897	599430.0	0.022148984706104446	5054259.0	0.020327670157941402	262499.0	0.020817346871771315	5391190.0	0.020491553414059074	4791760.0	0.020301509720362057	869658.0	0.020307846514023776	87909.0	0.025877866033494127	781749.0	0.01982792358573524	16950.0	0.02107074175226526	852708.0	0.0202932413692657	764799.0	0.019802037877816345	3025064.0	0.02119431553999707	413578.0	0.021336277098281172	2611486.0	0.02117200634717696	209354.0	0.02099744113933439	2815710.0	0.02120910112386972	2402132.0	0.021187357907189338	867455.0	0.02050372379940215	147270.0	0.021590954406097016	720185.0	0.020294744326687826	79514.0	0.021359572776309284	787941.0	0.02042115143850442	640671.0	0.02016994840106649	1402187.0	0.019298663920547673	42921.0	0.02216391620871602	1359266.0	0.01922020546182531	17068.0	0.019092747709049257	1385119.0	0.019301229010601998	1342198.0	0.019221837231153092
race	Caucasian	230731435.0	0.8368842993850467	23808534.0	0.8797271665428285	206922901.0	0.8322210000817851	10615208.0	0.8418335576592744	220116227.0	0.8366470895797871	196307693.0	0.831707459810456	35111482.0	0.8199068913709855	2966201.0	0.8731637500872075	32145281.0	0.8153181843660648	666976.0	0.8291256077261873	34444506.0	0.8197304049019367	31478305.0	0.8150306001177509	118233391.0	0.828371167095258	17028535.0	0.8784933950494934	101204856.0	0.8204944822974851	8365852.0	0.839064383534028	109867539.0	0.8275680893563969	92839004.0	0.8188614137337092	35042020.0	0.8282757024319718	6002718.0	0.8800462460151957	29039302.0	0.8183247492178738	3109617.0	0.8353257365740442	31932403.0	0.8275955147128438	25929685.0	0.8163322649314668	62904191.0	0.8657667210599868	1751475.0	0.9044417684038324	61152716.0	0.8647076922902891	782677.0	0.8755246366695304	62121514.0	0.8656451670934543	60370039.0	0.864569209085667
race	Hispanic	13721492.0	0.04976912321867857	1064813.0	0.03934492242940993	12656679.0	0.0509037617595267	578890.0	0.04590857081588767	13142602.0	0.04995415314294611	12077789.0	0.051170624318409505	2059569.0	0.048094091168070015	129049.0	0.03798829168522431	1930520.0	0.0489648250790645	34213.0	0.04253057743777294	2025356.0	0.04820060110458739	1896307.0	0.04909883909624396	8119376.0	0.05688627312740466	801186.0	0.0413327752038636	7318190.0	0.059330498088003135	482354.0	0.048378343491514375	7637022.0	0.05752523231555017	6835836.0	0.06029364911122683	2124756.0	0.05022209816661673	258588.0	0.03791105940085431	1866168.0	0.05258843551399483	181272.0	0.0486944748887886	1943484.0	0.05036948335257376	1684896.0	0.05304480050004343	2764239.0	0.03804493941041443	53757.0	0.027759503358075234	2710482.0	0.038326582832631136	27704.0	0.030990478235967928	2736535.0	0.038132816552605045	2682778.0	0.03842050281949342
race	Native American	424831.0	0.0015409014111668346	28157.0	0.001040403320437387	396674.0	0.0015953789135521642	18951.0	0.0015028992132043865	405880.0	0.0015427227939839435	377723.0	0.0016003195393976988	75114.0	0.0017540269658352845	4033.0	0.0011871985088339285	71081.0	0.001802865928063415	1244.0	0.0015464308401072556	73870.0	0.0017580012618008244	69837.0	0.001808207018148638	217050.0	0.001520703756335854	19378.0	0.0009997010905089066	197672.0	0.0016025790828130665	14293.0	0.0014335356678377602	202757.0	0.001527250219863712	183379.0	0.0016174450470092707	57080.0	0.001349179559135488	6293.0	0.0009226038981297516	50787.0	0.0014311727960447588	5222.0	0.001402767928137021	51858.0	0.0013440093500629643	45565.0	0.0014345017940481067	106031.0	0.0014593321961761095	2039.0	0.00105291640804203	103992.0	0.0014704609740743442	1893.0	0.002117563359106529	104138.0	0.0014511326367670006	102099.0	0.0014621764892091178
binned_age	18-29	69085777.0	0.24446457621095946	3828926.0	0.13796322209189507	65256851.0	0.25606273474024166	3008523.0	0.23173942350820378	66077254.0	0.2450773039245754	62248328.0	0.2573683147709702	10886176.0	0.24816359967540927	448881.0	0.1287672985491049	10437295.0	0.25847078326320577	145975.0	0.1761406760375075	10740201.0	0.24955046903457284	10291320.0	0.26019585355112684	38982334.0	0.26611521084295714	2853195.0	0.1435560493720569	36129139.0	0.2853542068578387	2567393.0	0.25001655485324026	36414941.0	0.26732882149481957	33561746.0	0.28847325649937866	11251437.0	0.259099935921831	1050876.0	0.15019088355245783	10200561.0	0.28001863943131894	1023304.0	0.26668716828746747	10228133.0	0.2583645378721037	9177257.0	0.2815882149258439	14680558.0	0.19758850245519283	191204.0	0.09652521542291245	14489354.0	0.20035674770631076	117733.0	0.12866319581049301	14562825.0	0.19844795833597528	14371621.0	0.20127552273004254
binned_age	30-49	101505120.0	0.35918255857558906	9350161.0	0.33690343940780676	92154959.0	0.3616087883464503	4323514.0	0.33303007551866753	97181606.0	0.3604418244974336	87831445.0	0.36314278165911795	17689534.0	0.4032544057730227	1378184.0	0.39534983789378386	16311350.0	0.4039367873170483	329091.0	0.39709752504099594	17360443.0	0.4033729623214655	15982259.0	0.4040800910068076	43001508.0	0.29355234009295356	6112150.0	0.3075275637204669	36889358.0	0.2913585483890127	3195668.0	0.3111989102621782	39805840.0	0.29222203863549717	33693690.0	0.28960735468829746	14310501.0	0.32954456325083614	2370709.0	0.33882102108694434	11939792.0	0.32776278784401625	1267428.0	0.33030925739393996	13043073.0	0.32947044471137726	10672364.0	0.3274629802563924	33776542.0	0.4546050873471515	872300.0	0.44036184082658586	32904242.0	0.45499522703782336	401548.0	0.43882725277799634	33374994.0	0.45480182717126827	32502694.0	0.45520242462451643
binned_age	50-64	73860740.0	0.26136109756322	9268110.0	0.3339469914806694	64592630.0	0.2534563839414282	3622884.0	0.27906220081983596	70237856.0	0.2605087732901637	60969746.0	0.25208196403338096	10454270.0	0.23831777799464576	1093451.0	0.3136705081431767	9360819.0	0.23181276555995578	219381.0	0.2647159969158036	10234889.0	0.23780945537860884	9141438.0	0.23112334113551086	40297317.0	0.2750920201407253	6794953.0	0.3418822086639035	33502364.0	0.2646074822619661	2854895.0	0.2780139278901755	37442422.0	0.2748717496802125	30647469.0	0.2634241730419435	11440470.0	0.2634530188380053	2280685.0	0.32595481793745146	9159785.0	0.2514479873394614	1004125.0	0.2616888557619762	10436345.0	0.2636240116352456	8155660.0	0.2502422827367816	18869670.0	0.2539705804863602	653933.0	0.33012397071793165	18215737.0	0.251884647334416	285772.0	0.31230274258836693	18583898.0	0.2532432145565173	17929965.0	0.2511103707721187
binned_age	>65	38148722.0	0.13499176765023146	5306040.0	0.19118634701962875	32842682.0	0.12887209297187982	2027432.0	0.1561683001532927	36121290.0	0.13397209828782727	30815250.0	0.12740693953653084	4836953.0	0.11026421655692227	565470.0	0.16221235541393453	4271483.0	0.10577966385979011	134294.0	0.16204580200569296	4702659.0	0.10926711326535278	4137189.0	0.10460071430655474	24205522.0	0.16524042892336402	4114831.0	0.20703417824357265	20090691.0	0.15867976249118249	1650936.0	0.160770606994406	22554586.0	0.16557739018947076	18439755.0	0.15849521577038037	6422678.0	0.14790248198932754	1294666.0	0.18503327742314635	5128012.0	0.14077058538520348	542238.0	0.1413147185566164	5880440.0	0.1485410057812734	4585774.0	0.14070652208098203	6971875.0	0.09383582971129555	263434.0	0.13298897303257	6708441.0	0.09276337792144985	109995.0	0.1202068088231437	6861880.0	0.09350699993623916	6598446.0	0.09241168187332231
